;Entidad Federativa;Sexo;2005 Trimestre I;2005 Trimestre II;2005 Trimestre III;2005 Trimestre IV;2006 Trimestre I;2006 Trimestre II;2006 Trimestre III;2006 Trimestre IV;2007 Trimestre I;2007 Trimestre II;2007 Trimestre III;2007 Trimestre IV;2008 Trimestre I;2008 Trimestre II;2008 Trimestre III;2008 Trimestre IV;2009 Trimestre I;2009 Trimestre II;2009 Trimestre III;2009 Trimestre IV;2010 Trimestre I;2010 Trimestre II;2010 Trimestre III;2010 Trimestre IV;2011 Trimestre I;2011 Trimestre II;2011 Trimestre III;2011 Trimestre IV;2012 Trimestre I;2012 Trimestre II;2012 Trimestre III;2012 Trimestre IV;2013 Trimestre I;2013 Trimestre II;2013 Trimestre III;2013 Trimestre IV;2014 Trimestre I;2014 Trimestre II;2014 Trimestre III;2014 Trimestre IV;2015 Trimestre I;2015 Trimestre II;2015 Trimestre III;2015 Trimestre IV;2016 Trimestre I;2016 Trimestre II;2016 Trimestre III;2016 Trimestre IV;2017 Trimestre I;2017 Trimestre II;2017 Trimestre III;2017 Trimestre IV;2018 Trimestre I;2018 Trimestre II;2018 Trimestre III;2018 Trimestre IV;2019 Trimestre I;2019 Trimestre II;2019 Trimestre III;2019 Trimestre IV;2020 Trimestre I;2020 Trimestre II;2020 Trimestre III;2020 Trimestre IV;2021 Trimestre I;2021 Trimestre II;2021 Trimestre III;2021 Trimestre IV;2022 Trimestre I;2022 Trimestre II;2022 Trimestre III;2022 Trimestre IV;2023 Trimestre I;2023 Trimestre II;2023 Trimestre III;2023 Trimestre IV
1;Aguascalientes;Hombres;7956.986146279701;8049.330919582;8228.385315298601;8162.1270844699;7790.181799978401;8489.4108534327;8439.7553188696;7987.7328754889;8113.1739551946;8248.999972752801;8233.249376723701;8057.8561223707;8690.607550797;8280.8234241851;8259.6126653845;7906.0632898071;7745.7556290648;7776.7806852691;7280.7984584136;7295.8353814363;7631.3675035196;7234.9535284281;7095.2024068849005;6986.937419519601;7323.3617103447;7132.4802508962;7158.7461858469005;6554.2246056205;7233.2506269993;7075.399698529301;6954.2802923132;7310.3381196148;7123.3968941538005;7014.3755025106;6584.9025665259005;7038.4284698659;6933.452118037801;6992.1119305892;7017.6977516446;6515.672533134601;6730.4808167039;6736.8408161526;6969.2978533362;7148.299531752;7301.0813242247;7475.1040014908;7281.1157829685;7260.2861161978;7342.918035835601;7124.1596786066;7088.1803291332;6917.0182462579005;6846.3200483838;7282.341223358801;6981.4937050392;6690.1550828963;6991.775382814601;7086.8675758378;7749.5844773701;7422.616319616401;7955.5084554836;ND;7737.3140810729;7977.8141638939005;7627.076396600401;7440.6053651997;7912.679217327401;7648.109072447401;8323.8474924152;8379.5049579047;7562.8181070858;7660.3780846237005;7975.511518551501;8083.148185597101;7762.1850061767;8059.5904901032
2;Aguascalientes;Mujeres;5738.0930805403;6014.6970080631;6458.9827798264005;5927.8763382702;6003.1735065218;6218.6976764307;6159.854553848901;5509.048836079401;5810.137103476;6139.4251907073;5821.1178090793;5941.865757467001;6183.2175001632;5973.2682733018;6110.4586376862;5837.6558830197;5962.7841754963;5864.6601357851005;5766.7046546743;5343.344880923;5648.6709759831;5210.7157528501;5492.630562466;5445.9111124678;5442.7967353833;5559.181005363001;5652.5705431496;5067.4633174341;5581.7847071331;5403.8671923304;5417.2524650369005;5494.0563647059;5438.9781617658;5563.2346946624;5091.1490018567;5096.7217093827;5076.9911561081;5241.017665143901;5194.3277837301;5110.8777240092;5102.0481584255;5367.2308695282;5442.3963004416;5335.5073584166;5296.860840689;5447.551884191;5222.8940076116005;5401.8399058812;5543.3136503266005;5325.8601462361;5143.1219140365;5254.2974234333005;5540.1580270688;5426.3926982309;5164.7584333777;5281.5231308776;5533.899736090801;5427.8025963491;5792.981182033001;5609.6397406865;5955.3126434092;ND;6327.747910722101;6184.8681608288;6200.3763619783;6083.2023706101;6006.0322786524;5777.4872280736;6380.0688294694;6031.1974800616;6058.736911737;5916.811514617801;6384.733534651;6027.3264826552;6232.1555327559;6326.3780956332
3;Baja California;Hombres;11121.3324400892;11554.325486473701;11719.8649257994;11799.2715024236;11943.7299507484;12352.620809620701;12014.6008925529;11642.132796776401;11387.3790179058;11831.4433354661;11388.190067583;11142.0497132622;11586.239338257701;10797.0983632082;10715.1077822302;9760.4920658055;10003.271258416;9645.917824223701;9281.6660327109;8986.715652680201;9627.067766705;9517.9550126261;9487.3894160172;9134.2329551326;9639.3284760935;9321.1223926415;9111.8226844076;8920.9379304827;9022.8231749528;9081.0718199608;8533.3986235498;8909.567481679;8771.2055206479;8550.8031336155;8679.146509251601;8447.997470640501;8399.8672522353;8122.9031693565;7954.9685902089;8039.9734186444;8072.8319346909;8132.4232918463;7935.5670252032005;8139.4178146897;8079.398999967801;8226.7307714415;8863.9254711916;8325.3446700638;8294.2961493732;8280.8160713005;8104.330467257801;8226.2276143603;8419.8733410799;8884.415640659601;8063.0522463898005;8138.0392117618;9315.0356895493;9174.0150456339;9422.0316233272;9053.8349413297;9221.8052925931;ND;9145.193431019301;9222.4168960906;9702.4695164537;9498.5953907339;9697.5335100553;9531.697426603001;10653.652687420301;10513.3167635961;10406.833205529001;10520.641081724001;10930.0900521626;11024.2196513655;11466.6137634934;11150.548744539501
4;Baja California;Mujeres;8681.5463031984;8730.9421584255;9139.6751163288;8970.430082000601;9226.6933964037;9189.1110383392;9259.457728098201;8729.6940570439;9107.6030654162;8720.211608101301;8762.0686140428;8678.937575412201;8552.455090216801;8394.7262713509;8286.580312146;7571.7992787899;7684.0681564564;7993.2275527988;7105.1363402489005;6931.787129268;7605.4542735222;6997.3180512113;7318.5402556214;7686.9587203149;7507.497215205501;7214.591436239;7136.5209498132;6955.207296709;7351.4185741513;7064.5446523127;6959.9840384432;6947.9920286974;7160.7962397335;7225.175976485601;6935.2961679448;6788.9535286425;6715.794499079901;6958.0684974586;6642.450983129001;6331.0172244426;6426.1157513852;6534.4309865415;6474.5615091011005;6352.1095192475;6573.6474827124;6660.2785381325;6673.8086010505;6749.1211086467;6434.101344894801;6473.5371251292;6417.154625352;6495.628536076701;6714.9145047524;6629.8842475363;6563.2430493163;6575.3731034873;7497.5046422604;7395.066699329001;7419.4007384213;7164.1175454561;7853.6066249612;ND;7381.613417305301;7237.7450564108;7558.725132753;7779.3292485949005;8138.362004888901;7577.2694328809;8508.6104182084;8212.5073270718;8728.9117166326;8236.6311171471;8826.823642298501;9385.4794924544;9145.2346864507;8976.9797989079
5;Baja California Sur;Hombres;10687.5289997284;10994.352958224601;11123.7097174809;11140.5427357813;10634.3098004929;12069.1352700488;11646.069305315701;12697.486292659201;11935.532990092901;12259.2932045998;12402.737958423;13719.0665763667;12239.1636673226;13247.6999511226;11878.3154534307;11699.6301837254;11464.4396049838;10794.1827256473;10837.6521411056;10108.948890559901;9834.9981313229;10711.612937657601;10457.0755616105;10104.6271510321;10425.5536136677;10397.031253882;9859.139352688;10652.7734389917;10023.8449158884;10215.212989138501;10480.378704652201;10784.3902330957;9767.3183969957;9817.144738659601;10001.3638686583;9731.5295578554;10250.8735653075;9667.831779944201;8856.3318134406;9884.4853031897;9875.2958496926;9872.419783614401;9572.025202683;9851.855736417301;9867.7742696653;9719.607375039;10557.242067071;10518.0003002551;10423.641817965301;10476.255882736701;10417.1271090935;10167.3767764689;10439.6008608667;10632.5491976601;10662.7861582232;10382.749389906501;10453.1866934554;10483.2383814575;9895.8387159069;9983.1228367723;10312.7022306584;ND;9881.469501580601;10168.663627256401;9685.592505844901;10278.3586102189;11714.217020747301;11405.967835880201;10886.4539290071;11315.246464486401;11456.63653533;10887.651395351;11517.980554754;11974.998000400901;12022.3136250476;11809.187074798601
6;Baja California Sur;Mujeres;8162.0519699306005;8339.5241791508;7949.3605131691;8531.9226826667;8148.6349181172;9115.2317271675;8892.467860355;9388.7681350275;8340.7006826036;8619.8045769049;9365.4177775241;8774.3802701108;10687.640965923001;8813.7080315777;8263.9652855149;8328.5163869765;8425.7947326994;8329.071149859401;8910.6392925156;7411.1695927493;7630.3044880354;7598.4551297179005;7039.9224989151;7316.4310844588;7151.998521671901;7783.1854384492;7872.324150680401;8118.8260832632;7691.489549501301;8116.9510702439;8448.0311265942;8009.8102034660005;7258.3091713782005;7367.6206032681;7978.8573467243;7430.070937256501;7122.1031996202;7141.022545474901;7136.4372191436005;7209.2692202843;7167.2721461753;7588.1702382774;6903.2790551968;7214.0086638019;7547.7635915071005;7692.1943729717;7420.6585933088;8496.7193666462;7489.6248035043;7805.3014766222;8097.6846465621;7855.3246806763;7551.9384889702005;7688.991249671701;7342.3474334874;8219.018991020801;7797.765807000001;8613.6195693051;7986.7268979065;7733.9076360701;8071.591340544401;ND;7247.2543179775;7443.0049474277;7230.3166414529005;7826.4567851875;9100.4323183408;9017.566325146301;8354.4963456803;8631.8574256789;8922.1903093155;8294.4535379402;9397.824943412;8335.243185163301;8766.2456488603;8751.1655783268
7;Campeche;Hombres;6963.2501763656;6952.996602873501;6978.564226817501;7104.370542077801;7288.0848372022;7509.4726533680005;7330.9916021702;7047.5528637867;7400.0515438956;7413.9136894884;7372.5374752828;7358.8188837731;7706.0864478379;7603.0566789479;7379.3671227052;7208.0728241751;7438.4363666085;6731.5846682799;6976.756982483001;7023.3308278038;6878.3435569927005;6762.8897341882;6966.9396248494;6522.8707839146;6844.6335113888;7283.1869030884;7053.2334501425;7151.3455984732;6896.6778100962;7250.0353825876;6876.0562649035;7167.1906725215;6883.4912788775;7470.345106811;7543.1544057774;7112.4932536188;7325.2855048634;7260.1646187509;7102.8418137348;6825.8643244386;6886.457570058;7121.8958907342;6816.3216267043;6903.5123359041;6868.480989479301;6854.2538425804005;6644.4131588706005;6693.491421198601;6493.4773897698005;6027.732343851801;5993.0190341445;6287.0871639606;6226.7328978899;6368.5247401886;6175.6291189533;6077.619774411401;6251.8991055667;6486.4038966569005;6479.840707295;6369.7044775696;6575.8336859798;ND;5908.9854769465;6443.3006264252;6305.9019547216;6373.6727142119;6270.3298315652;6506.640388622201;6984.0291426223;6554.905736264201;6397.0757990968;6533.5270931712;6622.010644120401;6887.328335164801;7111.575558479501;7246.0789276131
8;Campeche;Mujeres;4837.996576559201;4792.3570815105;4887.7386519128;5464.5435471079;5347.0977688551;5472.9813858257;5513.4931910327;4975.0713781511;4957.146842011301;5347.384182087801;5511.157041174501;5577.8824484743;5420.6294784272;5601.5702216504005;5185.7539562218;4938.8482729272;5117.9658466393;5539.0024626795;4843.9644777609;5005.0637819135;5141.0034929256;5319.0746432292;5008.091573604001;5131.4617006084;5242.2453168756;5222.4179056285;5474.8129485128;5298.3678760486;5351.9579521880005;5804.8273148124;4934.860122873501;4995.7128120569005;5254.818978338601;5257.3565698985;5229.1021288561005;5438.212373764;5557.1795435648;5517.3324075015;5420.6625935734;5070.1495647531;5139.6564543446;5246.6443680903;5382.8359935613;5260.2120181589;5370.5028743023;5376.809870604;5331.623602909101;4981.8994738009005;5043.4394032389;4799.518000393;4964.4334090043;4819.7384102279;4876.9745593863;5139.5484860765;5087.2514925722;4706.7585976007;4691.768755444;4858.4296761689;4985.5005823278;4694.1037991643;4773.9696073763;ND;4931.3876752585;5037.0657134199;4992.9346873684;4792.7743715484;5247.3528666322;5056.5609103088;5284.3819782614;5257.7066436395;5052.2711635173;4995.9533497608;4983.6741024762005;5159.2249576103;5436.091414502101;5473.7870229512
9;Coahuila de Zaragoza;Hombres;9087.0113975293;9685.2441793372;9448.1064220445;9292.9920008714;9349.9127859538;9148.192390616701;9711.3042934149;8874.5566556208;9595.8570588612;9474.280494062501;9465.590162284301;8898.091945667;9042.7146621716;8656.6154381434;8613.5762643281;8387.2155520282;8110.4985917609;8366.0293539753;7875.9896893015;7696.568849223;7704.3282823395;7765.968689574001;7945.5475810318;7325.368528706001;7761.197596470601;7932.0393206005;8055.7257246121;7560.579078808901;7509.0256398045;7750.060259417301;7693.2800321287;7551.683706505401;7964.4876413904;7846.9652341473;8020.7700087202;8003.5778722049;8007.2421614649;7644.724712925;8002.9872971473005;7931.476290909601;7847.2790406377;7928.1510397477;8117.3389404761;8100.3503553781;8161.105642600601;8336.4131869422;8345.6905221266;8032.2896931277;8113.583664132901;8272.9672468961;8135.1198027563005;8254.2799352772;8123.3443191579;8380.952160521101;8405.94236165;8398.3025192811;8673.3098680529;8729.9623427262;8921.3935314715;8763.6507663888;9020.810662129901;ND;8725.7516379269;8452.1552226297;8663.841091935301;8526.6113716414;8789.5796115564;8777.4213926558;8830.906152542;8741.0684745543;8746.0901123992;8685.8611895294;9171.2885828944;9332.7462757087;9588.1652998278;9323.1023862271
10;Coahuila de Zaragoza;Mujeres;7032.6372735142;6816.4532341591;6625.969806689201;6516.1904718834;6623.739815937301;6514.0832200308005;7062.7586062088;6601.036567371;6955.607049048001;6720.6854954296;6797.1441747725;6312.5395591978;5978.9183958153;6034.7336403911;6507.7589218104;5912.075889966;5863.4330208742;5998.3095176642;5978.2608157626;5606.3474643753;5908.2337807976;5652.763062574601;5979.1859235033;5702.9924646294;5896.208416215401;5571.391046975;5659.2741320532;5581.3778065507;5727.8089630765;5637.9967232515;6048.302763469001;6041.9475047065;5991.4079358772005;6079.6835133764;6072.1900410092;5832.020295641601;5850.3070720255;5655.6204704683005;5924.0902365669;6075.3364673486;6199.556441149401;6347.2348452382;6517.925014522;6302.8872578703;6107.1518065767;6111.6933486048;6174.1041835876;5915.5842338708;6248.499502934;6351.032115752;6371.612892971801;6109.2750841785;6007.3853130156;6209.1526072913;6470.2547798935;6176.0756382604;6246.3937282940005;6724.4997126086;6819.5972710346;6560.127614689301;6857.642950987501;ND;6779.523977861901;6595.031503987901;6918.3912762181;6804.274674920201;7074.1393471559;6761.456836576101;7170.693858638;6927.9197151772005;6825.1707378488;6700.6182203575;7022.678911438;7297.5216667596005;7550.6763523619;7457.4347002902
