;Entidad Federativa;Sexo;Salario;Año;Trimestre
0;Aguascalientes;Hombres;7956.99;2005;Trimestre I
1;Aguascalientes;Mujeres;5738.09;2005;Trimestre I
2;Baja California;Hombres;11121.33;2005;Trimestre I
3;Baja California;Mujeres;8681.55;2005;Trimestre I
4;Baja California Sur;Hombres;10687.53;2005;Trimestre I
5;Baja California Sur;Mujeres;8162.05;2005;Trimestre I
6;Campeche;Hombres;6963.25;2005;Trimestre I
7;Campeche;Mujeres;4838.0;2005;Trimestre I
8;Coahuila de Zaragoza;Hombres;9087.01;2005;Trimestre I
9;Coahuila de Zaragoza;Mujeres;7032.64;2005;Trimestre I
10;Colima;Hombres;8353.77;2005;Trimestre I
11;Colima;Mujeres;5852.63;2005;Trimestre I
12;Chiapas;Hombres;3501.78;2005;Trimestre I
13;Chiapas;Mujeres;3544.89;2005;Trimestre I
14;Chihuahua;Hombres;8942.09;2005;Trimestre I
15;Chihuahua;Mujeres;7081.45;2005;Trimestre I
16;Ciudad de México;Hombres;9728.57;2005;Trimestre I
17;Ciudad de México;Mujeres;7884.01;2005;Trimestre I
18;Durango;Hombres;6153.26;2005;Trimestre I
19;Durango;Mujeres;5166.12;2005;Trimestre I
20;Guanajuato;Hombres;7102.05;2005;Trimestre I
21;Guanajuato;Mujeres;4487.27;2005;Trimestre I
22;Guerrero;Hombres;4984.31;2005;Trimestre I
23;Guerrero;Mujeres;4042.76;2005;Trimestre I
24;Hidalgo;Hombres;5715.56;2005;Trimestre I
25;Hidalgo;Mujeres;3929.22;2005;Trimestre I
26;Jalisco;Hombres;8013.5;2005;Trimestre I
27;Jalisco;Mujeres;4954.27;2005;Trimestre I
28;México;Hombres;7061.95;2005;Trimestre I
29;México;Mujeres;4788.28;2005;Trimestre I
30;Michoacán de Ocampo;Hombres;6416.06;2005;Trimestre I
31;Michoacán de Ocampo;Mujeres;4046.17;2005;Trimestre I
32;Morelos;Hombres;6637.7;2005;Trimestre I
33;Morelos;Mujeres;4379.44;2005;Trimestre I
34;Nayarit;Hombres;6468.87;2005;Trimestre I
35;Nayarit;Mujeres;4816.96;2005;Trimestre I
36;Nuevo León;Hombres;10758.3;2005;Trimestre I
37;Nuevo León;Mujeres;7562.16;2005;Trimestre I
38;Oaxaca;Hombres;4362.16;2005;Trimestre I
39;Oaxaca;Mujeres;3223.2;2005;Trimestre I
40;Puebla;Hombres;5420.12;2005;Trimestre I
41;Puebla;Mujeres;3530.1;2005;Trimestre I
42;Querétaro;Hombres;7692.25;2005;Trimestre I
43;Querétaro;Mujeres;5820.42;2005;Trimestre I
44;Quintana Roo;Hombres;9707.12;2005;Trimestre I
45;Quintana Roo;Mujeres;7239.04;2005;Trimestre I
46;San Luis Potosí;Hombres;6633.14;2005;Trimestre I
47;San Luis Potosí;Mujeres;4670.4;2005;Trimestre I
48;Sinaloa;Hombres;7644.84;2005;Trimestre I
49;Sinaloa;Mujeres;5311.58;2005;Trimestre I
50;Sonora;Hombres;9361.39;2005;Trimestre I
51;Sonora;Mujeres;6948.84;2005;Trimestre I
52;Tabasco;Hombres;6756.09;2005;Trimestre I
53;Tabasco;Mujeres;5860.73;2005;Trimestre I
54;Tamaulipas;Hombres;10139.24;2005;Trimestre I
55;Tamaulipas;Mujeres;6375.6;2005;Trimestre I
56;Tlaxcala;Hombres;5429.94;2005;Trimestre I
57;Tlaxcala;Mujeres;4191.43;2005;Trimestre I
58;Veracruz de Ignacio de la Llave;Hombres;7199.12;2005;Trimestre I
59;Veracruz de Ignacio de la Llave;Mujeres;4498.32;2005;Trimestre I
60;Yucatán;Hombres;6391.68;2005;Trimestre I
61;Yucatán;Mujeres;4319.36;2005;Trimestre I
62;Zacatecas;Hombres;5534.66;2005;Trimestre I
63;Zacatecas;Mujeres;4498.7;2005;Trimestre I
64;Aguascalientes;Hombres;8049.33;2005;Trimestre II
65;Aguascalientes;Mujeres;6014.7;2005;Trimestre II
66;Baja California;Hombres;11554.33;2005;Trimestre II
67;Baja California;Mujeres;8730.94;2005;Trimestre II
68;Baja California Sur;Hombres;10994.35;2005;Trimestre II
69;Baja California Sur;Mujeres;8339.52;2005;Trimestre II
70;Campeche;Hombres;6953.0;2005;Trimestre II
71;Campeche;Mujeres;4792.36;2005;Trimestre II
72;Coahuila de Zaragoza;Hombres;9685.24;2005;Trimestre II
73;Coahuila de Zaragoza;Mujeres;6816.45;2005;Trimestre II
74;Colima;Hombres;8730.23;2005;Trimestre II
75;Colima;Mujeres;5645.81;2005;Trimestre II
76;Chiapas;Hombres;3387.37;2005;Trimestre II
77;Chiapas;Mujeres;3354.78;2005;Trimestre II
78;Chihuahua;Hombres;9306.61;2005;Trimestre II
79;Chihuahua;Mujeres;6464.24;2005;Trimestre II
80;Ciudad de México;Hombres;9980.94;2005;Trimestre II
81;Ciudad de México;Mujeres;7427.86;2005;Trimestre II
82;Durango;Hombres;6082.15;2005;Trimestre II
83;Durango;Mujeres;5208.33;2005;Trimestre II
84;Guanajuato;Hombres;7085.81;2005;Trimestre II
85;Guanajuato;Mujeres;4673.66;2005;Trimestre II
86;Guerrero;Hombres;4919.44;2005;Trimestre II
